시도,시군구,연령,성별,전체대상자수,전체수검자수,위암대상자수,위암수검자수,대장암대상자수,대장암수검자수,간암대상자수,간암수검자수,유방암대상자수,유방암수검자수,자궁경부암대상자수,자궁경부암수검자수,폐암대상자수,폐암수검자수
대전광역시,서구,50-54세,남자,16585,8974,10718,7146,15676,4812,670,542,,,,,216,73
대전광역시,서구,50-54세,여자,18429,11833,11851,8401,16745,5678,558,450,11780,8554,11881,8508,5,1
대전광역시,서구,55-59세,남자,13470,6578,6128,4238,12832,4210,489,387,,,,,486,195
대전광역시,서구,55-59세,여자,14619,8294,6889,5073,13684,5097,348,292,6849,5184,6766,4967,9,4
대전광역시,서구,60-64세,남자,13191,8036,8423,6061,12111,5270,512,430,,,,,657,299
대전광역시,서구,60-64세,여자,14870,10023,9636,7263,13490,6353,401,355,9695,7440,9507,6905,8,2
대전광역시,서구,65-69세,남자,9164,5466,4207,3229,8726,4232,335,272,,,,,259,127
대전광역시,서구,65-69세,여자,10021,6059,4684,3666,9524,4440,295,250,4653,3667,4531,3314,7,2
대전광역시,서구,70-74세,남자,6003,3930,3781,2840,5641,2978,180,133,,,,,185,81
대전광역시,서구,70-74세,여자,6833,4306,4366,3179,6438,3064,185,145,4307,3126,4214,2728,4,3
대전광역시,서구,75-79세,남자,3790,2001,1618,1134,3664,1662,89,65,,,,,,
대전광역시,서구,75-79세,여자,4720,2128,2000,1292,4560,1569,139,99,1961,1210,1918,1040,,
대전광역시,서구,80-84세,남자,2486,1197,1654,930,2389,952,52,30,,,,,,
대전광역시,서구,80-84세,여자,3402,1280,2173,942,3286,889,63,40,2160,857,2117,667,,
대전광역시,서구,85세 이상,남자,1273,288,585,157,1249,228,20,11,,,,,,
대전광역시,서구,85세 이상,여자,2711,334,1257,162,2676,229,34,9,1252,133,1228,89,,
대전광역시,유성구,20-24세,여자,4914,1754,,,,,,,,,4914,1754,,
대전광역시,유성구,25-29세,여자,4164,2589,,,,,,,,,4164,2589,,
대전광역시,유성구,30-34세,여자,6688,4749,,,,,,,,,6688,4749,,
대전광역시,유성구,35-39세,여자,5322,3898,,,,,,,,,5322,3898,,
대전광역시,유성구,40-44세,남자,8439,5844,8273,5678,,,396,331,,,,,,
대전광역시,유성구,40-44세,여자,9303,7552,8571,5811,,,289,249,8564,6015,8666,6095,,
대전광역시,유성구,45-49세,남자,6151,4474,5878,4230,,,496,404,,,,,,
대전광역시,유성구,45-49세,여자,6954,5723,6270,4456,,,380,306,6153,4478,6187,4444,,
대전광역시,유성구,50-54세,남자,12699,7113,8209,5603,12007,3684,563,455,,,,,165,62
대전광역시,유성구,50-54세,여자,13202,8336,8436,5890,12079,3937,395,320,8385,5970,8397,5860,,
대전광역시,유성구,55-59세,남자,9990,5075,4520,3174,9559,3207,396,324,,,,,314,129
대전광역시,유성구,55-59세,여자,10072,5681,4773,3403,9435,3399,243,199,4703,3453,4631,3261,4,1
대전광역시,유성구,60-64세,남자,9134,5676,6008,4279,8405,3533,367,288,,,,,391,185
대전광역시,유성구,60-64세,여자,9614,6391,6262,4608,8723,3909,241,211,6233,4672,6142,4364,5,2
대전광역시,유성구,65-69세,남자,5805,3385,2666,1955,5548,2556,184,155,,,,,150,66
대전광역시,유성구,65-69세,여자,5851,3522,2760,2065,5494,2472,155,134,2729,2057,2642,1809,2,2
대전광역시,유성구,70-74세,남자,3294,2126,2052,1458,3095,1594,109,79,,,,,84,39
대전광역시,유성구,70-74세,여자,3451,2203,2169,1510,3237,1558,99,81,2142,1447,2089,1239,2,0
대전광역시,유성구,75-79세,남자,1968,1040,832,567,1903,865,58,44,,,,,,
대전광역시,유성구,75-79세,여자,2425,1104,1044,629,2356,816,48,35,1028,575,994,442,,
대전광역시,유성구,80-84세,남자,1282,551,827,402,1235,413,20,13,,,,,,
대전광역시,유성구,80-84세,여자,1978,650,1253,454,1898,429,30,15,1235,378,1208,273,,
대전광역시,유성구,85세 이상,남자,699,125,317,64,682,102,11,7,,,,,,
대전광역시,유성구,85세 이상,여자,1819,184,822,75,1795,128,21,4,822,60,816,45,,
대전광역시,대덕구,20-24세,여자,2287,822,,,,,,,,,2287,822,,
대전광역시,대덕구,25-29세,여자,1669,994,,,,,,,,,1669,994,,
대전광역시,대덕구,30-34세,여자,2206,1434,,,,,,,,,2206,1434,,
대전광역시,대덕구,35-39세,여자,1724,1117,,,,,,,,,1724,1117,,
대전광역시,대덕구,40-44세,남자,3345,2099,3285,2042,,,159,128,,,,,,
대전광역시,대덕구,40-44세,여자,3267,2576,3007,1987,,,118,100,3007,2058,3009,2026,,
대전광역시,대덕구,45-49세,남자,2767,1785,2621,1668,,,251,183,,,,,,
대전광역시,대덕구,45-49세,여자,3066,2526,2735,1978,,,169,150,2723,2013,2690,1892,,
대전광역시,대덕구,50-54세,남자,7163,3547,4562,2771,6844,2100,266,202,,,,,145,55
대전광역시,대덕구,50-54세,여자,7297,4599,4603,3210,6676,2574,219,189,4608,3326,4510,3018,,
대전광역시,대덕구,55-59세,남자,6111,2841,2726,1745,5875,1964,223,180,,,,,280,120
대전광역시,대덕구,55-59세,여자,6274,3615,2809,2082,5946,2495,168,141,2792,2129,2715,1863,1,1
대전광역시,대덕구,60-64세,남자,6162,3717,3961,2759,5693,2554,235,194,,,,,376,190
대전광역시,대덕구,60-64세,여자,6559,4464,4205,3168,6057,3112,175,155,4210,3244,4066,2778,6,3
대전광역시,대덕구,65-69세,남자,4092,2477,1800,1376,3922,1996,136,107,,,,,156,84
대전광역시,대덕구,65-69세,여자,4386,2705,1967,1538,4185,2101,118,102,1967,1541,1883,1263,3,1
대전광역시,대덕구,70-74세,남자,2717,1792,1695,1264,2556,1403,85,65,,,,,69,39
대전광역시,대덕구,70-74세,여자,3004,1964,1914,1396,2855,1511,94,73,1895,1358,1818,1048,2,0
대전광역시,대덕구,75-79세,남자,1743,936,749,512,1700,804,46,33,,,,,,
대전광역시,대덕구,75-79세,여자,2213,985,927,586,2144,790,47,30,914,563,871,395,,
대전광역시,대덕구,80-84세,남자,1108,510,719,362,1062,404,28,17,,,,,,
대전광역시,대덕구,80-84세,여자,1634,579,1070,404,1591,425,36,21,1057,365,1018,235,,
대전광역시,대덕구,85세 이상,남자,526,118,247,73,517,101,11,4,,,,,,
대전광역시,대덕구,85세 이상,여자,1168,147,513,73,1149,110,13,6,514,62,499,28,,
울산광역시,중구,20-24세,여자,2524,901,,,,,,,,,2524,901,,
울산광역시,중구,25-29세,여자,2125,1379,,,,,,,,,2125,1379,,
울산광역시,중구,30-34세,여자,3100,2176,,,,,,,,,3100,2176,,
울산광역시,중구,35-39세,여자,2603,1881,,,,,,,,,2603,1881,,
울산광역시,중구,40-44세,남자,4732,2895,4585,2766,,,335,244,,,,,,
울산광역시,중구,40-44세,여자,4968,4021,4538,2975,,,216,176,4566,3229,4603,3292,,
울산광역시,중구,45-49세,남자,3378,2071,3178,1895,,,378,276,,,,,,
울산광역시,중구,45-49세,여자,3780,3002,3350,2238,,,250,206,3342,2325,3392,2423,,
울산광역시,중구,50-54세,남자,8349,3666,5219,2842,7973,2166,405,273,,,,,132,40
울산광역시,중구,50-54세,여자,9150,5345,5733,3618,8495,2820,364,268,5721,3807,5784,3917,1,0
